NAME MPTSPs_100_1
COOMENT 
TYPE MPTSPs
DIMENSION 105
N_PATH 3
EDGE_WEIGHT_TYPE : EXPLICIT
EDGE_DATA_FORMAT : EDGE_LIST
NODE_COORD_SECTION
1 13889.390925394853 14171.180856956846
2 13823.250579591198 14132.687711745952
3 13463.507882636406 14232.529220044342
4 14065.552786703221 14538.278002656809
5 14829.616259537963 14451.60461537773
6 14270.250256154752 14217.534431799135
7 14176.630995834064 14816.736157341238
8 13971.653782590856 13379.819636736564
9 21354.34681294354 14764.09328408354
10 23709.91298993681 16012.344165383303
11 22766.7738241162 16513.491835466742
12 22136.096542680443 16811.547167901725
13 22184.565414414697 15362.508255905197
14 23760.08484126394 14948.731822336984
15 21271.943846999173 15300.425179810993
16 22074.689007507317 16981.678217701683
17 17499.952230193598 20247.47849564509
18 20657.592566262807 21453.749756821147
19 17030.802219601926 20914.17622497554
20 18727.545234928963 20468.478108449322
21 18192.004926765097 19632.67742370628
22 17601.42484688663 20747.122869992047
23 18791.97729342209 22109.104535510924
24 12182.303370534855 22305.798109548774
25 11624.349592492712 22050.701232005886
26 12930.772163655785 22237.17999743786
27 11063.369075423885 22364.953450445246
28 11085.594609943058 22950.71377300148
29 11182.650722576182 22771.4686107703
30 13244.953887970154 21199.23674279305
31 12486.262021491186 22620.639315284025
32 12211.588452646742 22172.50355332269
33 5826.055548618525 18865.612882350473
34 7882.207982070211 18526.84566957198
35 7526.4602489702565 20042.61735351294
36 5875.237254947892 19549.882288155237
37 5948.653514281579 19456.94921329321
38 6563.248428975912 17249.219525704582
39 6015.385243351176 19252.323770062412
40 6417.323058715283 17915.23330499475
41 4218.7593267052125 13962.119689580897
42 4464.640326934185 12016.930129077058
43 6219.86514525825 12919.104124647974
44 4739.101106824066 13985.515756108636
45 5446.4553747076325 13839.639455976136
46 4328.6967265395815 11847.902193719945
47 5835.610265782008 11913.42711644368
48 6837.898173062342 13283.706965537962
49 4919.068406098207 13816.971797375616
50 10889.360862859898 6822.980458744461
51 8755.014832139752 5879.588642187305
52 10884.111365781358 7320.718011743412
53 9650.8462882992 7987.4903380581245
54 8301.238064383388 6685.101307180124
55 10479.91674602201 6395.524676592572
56 10373.501194588183 7921.539966657203
57 7963.498862461826 7643.894100818697
58 16436.56720846963 5562.494317668865
59 16678.06396860971 6129.807413814713
60 14225.810657794595 6249.750760212408
61 15690.111944033899 6223.55456460421
62 16072.845447877284 6941.528381716786
63 17245.99558901568 6022.917885956323
64 14982.458617722457 4589.572025533755
65 16296.081459912273 5799.852395420855
66 14993.261885235315 5734.603424376552
67 21931.526751947764 8864.363617786903
68 21526.94999820839 10585.868837562877
69 22555.57586457129 9789.859424249935
70 20950.173561459265 8939.76868986955
71 20297.107384898456 8099.311555077078
72 22417.72363221431 8606.882616808616
73 20938.895088428337 8584.097987216363
74 22322.7441502534 9431.074269500135
75 19057.249051909777 25910.51882349373
76 15496.138141132924 25364.014755020078
77 14626.53387318378 25289.461194519623
78 24608.216140219505 19042.804517826775
79 21757.101183936953 22468.932559689834
80 26743.065614039664 15310.447991118643
81 20947.863502597615 24530.24321436057
82 25053.46030338005 14517.944271085758
83 7529.569234501931 25397.92253724732
84 2360.965671957546 14209.291714772007
85 10177.863220743058 27308.241501498418
86 7616.923035522368 26433.55982296135
87 4920.134753515736 24415.918305159496
88 6657.868549643445 24973.05942566274
89 7257.388491283179 23271.97081953347
90 3485.2159343628377 17393.349060782904
91 5350.88706719319 23889.881953290096
92 4906.859679338437 3831.278555539571
93 12089.26446890642 3932.6334172243874
94 2190.867509446777 7714.406264933795
95 10325.456254011124 4606.5920915668885
96 9416.35320940516 3564.3425742737963
97 1692.885634031068 12145.535032253481
98 10441.467754389296 2829.1429621859106
99 25222.848021851256 10649.19658109467
100 20219.72131920831 4084.55419531332
101 26677.459380149074 12239.493555039668
102 15133.50329046341 3090.639778376346
103 23583.42544528031 6931.3565558745295
104 24113.342856937925 11236.681128801252
105 18124.84796182796 2429.4818254919514
EDGE_WEIGHT_SECTION
1 1 0
1 2 27
1 3 168
1 4 144
1 5 391
1 6 158
1 7 263
1 8 315
1 9 2778
1 10 4215
1 11 3664
1 12 3381
1 13 3423
1 14 4133
1 15 2596
1 16 3758
1 17 2643
1 18 3910
1 19 2685
1 20 3025
1 21 3017
1 22 3118
1 23 3660
1 24 2880
1 25 3304
1 26 3257
1 27 3425
1 28 3636
1 29 3442
1 30 2965
1 31 3486
1 32 3053
1 33 3516
1 34 2840
1 35 3756
1 36 3336
1 37 3956
1 38 3393
1 39 4079
1 40 3527
1 41 3858
1 42 4073
1 43 2563
1 44 4023
1 45 3431
1 46 3805
1 47 3286
1 48 2708
1 49 3704
1 50 3657
1 51 3693
1 52 3013
1 53 2976
1 54 3447
1 55 3248
1 56 2491
1 57 4409
1 58 3345
1 59 3573
1 60 2958
1 61 3500
1 62 3352
1 63 4126
1 64 3861
1 65 3271
1 66 3324
1 67 4048
1 68 3809
1 69 4184
1 70 3501
1 71 3941
1 72 3761
1 73 3322
1 74 3756
1 75 4646
1 76 5210
1 77 3983
1 78 4129
1 79 5295
1 80 5256
1 81 4371
1 82 4421
1 83 5199
1 84 4426
1 85 5377
1 86 6830
1 87 5717
1 88 4511
1 89 4422
1 90 4510
1 91 5473
1 92 6840
1 93 3847
1 94 4892
1 95 4037
1 96 4755
1 97 5468
1 98 4758
1 99 4462
1 100 4510
1 101 4986
1 102 4290
1 103 4709
1 104 3707
1 105 4647
2 1 27
2 2 0
2 3 179
2 4 175
2 5 413
2 6 175
2 7 293
2 8 285
2 9 3044
2 10 4165
2 11 3669
2 12 3982
2 13 3597
2 14 3486
2 15 3273
2 16 3592
2 17 2445
2 18 3663
2 19 3367
2 20 3318
2 21 3097
2 22 2819
2 23 3982
2 24 3027
2 25 2946
2 26 2915
2 27 3535
2 28 4015
2 29 3404
2 30 3037
2 31 3612
2 32 3275
2 33 3645
2 34 2728
2 35 3313
2 36 3426
2 37 3702
2 38 3778
2 39 3424
2 40 3287
2 41 3357
2 42 3538
2 43 3129
2 44 3623
2 45 2673
2 46 4227
2 47 3164
2 48 2558
2 49 3528
2 50 3444
2 51 3707
2 52 3164
2 53 3571
2 54 3507
2 55 3472
2 56 2544
2 57 3527
2 58 3926
2 59 3281
2 60 3229
2 61 3167
2 62 3049
2 63 3225
2 64 3698
2 65 4071
2 66 3828
2 67 3544
2 68 3021
2 69 3998
2 70 3586
2 71 3536
2 72 3897
2 73 3335
2 74 3996
2 75 4388
2 76 4163
2 77 5762
2 78 4454
2 79 4365
2 80 5808
2 81 4792
2 82 3945
2 83 5943
2 84 4465
2 85 5513
2 86 5519
2 87 5377
2 88 5285
2 89 4737
2 90 4471
2 91 5514
2 92 5656
2 93 4729
2 94 5114
2 95 4200
2 96 4521
2 97 4495
2 98 4892
2 99 4391
2 100 4944
2 101 5228
2 102 4098
2 103 4196
2 104 4119
2 105 4732
3 1 168
3 2 179
3 3 0
3 4 258
3 5 492
3 6 314
3 7 352
3 8 343
3 9 3256
3 10 4750
3 11 3449
3 12 3450
3 13 3644
3 14 3742
3 15 2788
3 16 3965
3 17 2611
3 18 4241
3 19 2862
3 20 2996
3 21 2497
3 22 3254
3 23 3631
3 24 3068
3 25 3552
3 26 3412
3 27 3410
3 28 3680
3 29 3643
3 30 2428
3 31 2616
3 32 3197
3 33 3033
3 34 2909
3 35 3467
3 36 3445
3 37 3751
3 38 2637
3 39 3743
3 40 2695
3 41 3134
3 42 3817
3 43 2775
3 44 3734
3 45 3551
3 46 3577
3 47 3024
3 48 2760
3 49 3416
3 50 3060
3 51 3324
3 52 3133
3 53 3208
3 54 3316
3 55 3214
3 56 2718
3 57 3210
3 58 3409
3 59 3830
3 60 4041
3 61 3331
3 62 2772
3 63 3492
3 64 4099
3 65 3748
3 66 3646
3 67 3984
3 68 3324
3 69 4437
3 70 3425
3 71 3933
3 72 3838
3 73 3761
3 74 3679
3 75 4910
3 76 4395
3 77 4875
3 78 4708
3 79 4577
3 80 5655
3 81 5428
3 82 4173
3 83 4821
3 84 3816
3 85 5717
3 86 5833
3 87 6643
3 88 5558
3 89 4186
3 90 4342
3 91 5237
3 92 5651
3 93 4169
3 94 5101
3 95 3869
3 96 4086
3 97 4161
3 98 4259
3 99 4663
3 100 5182
3 101 4537
3 102 4212
3 103 4646
3 104 4794
3 105 4825
4 1 144
4 2 175
4 3 258
4 4 0
4 5 280
4 6 132
4 7 108
4 8 488
4 9 2993
4 10 4147
4 11 3127
4 12 3563
4 13 3454
4 14 3561
4 15 2735
4 16 2903
4 17 2544
4 18 3561
4 19 2811
4 20 3118
4 21 2453
4 22 2885
4 23 3873
4 24 3254
4 25 3061
4 26 2937
4 27 3380
4 28 3348
4 29 3451
4 30 2578
4 31 3342
4 32 2770
4 33 3628
4 34 2773
4 35 3179
4 36 3966
4 37 3075
4 38 2775
4 39 3376
4 40 2949
4 41 2801
4 42 3629
4 43 3251
4 44 3937
4 45 3628
4 46 4244
4 47 3380
4 48 2855
4 49 3899
4 50 3477
4 51 3827
4 52 3026
4 53 3380
4 54 3768
4 55 3332
4 56 2750
4 57 3623
4 58 3227
4 59 3387
4 60 3444
4 61 3057
4 62 3320
4 63 3781
4 64 3628
4 65 3778
4 66 2975
4 67 3769
4 68 3484
4 69 3644
4 70 3761
4 71 3737
4 72 4306
4 73 3394
4 74 3695
4 75 4833
4 76 3937
4 77 3980
4 78 4909
4 79 4731
4 80 5021
4 81 4886
4 82 4373
4 83 4884
4 84 4332
4 85 4851
4 86 5248
4 87 5585
4 88 5265
4 89 4737
4 90 4403
4 91 5343
4 92 6499
4 93 4435
4 94 5477
4 95 4520
4 96 4101
4 97 5469
4 98 4301
4 99 5092
4 100 5395
4 101 5196
4 102 4927
4 103 4333
4 104 4023
4 105 5412
5 1 391
5 2 413
5 3 492
5 4 280
5 5 0
5 6 263
5 7 345
5 8 461
5 9 2531
5 10 3945
5 11 2873
5 12 2774
5 13 3054
5 14 2984
5 15 2842
5 16 3077
5 17 2317
5 18 3463
5 19 2677
5 20 3233
5 21 2469
5 22 2332
5 23 3412
5 24 2892
5 25 3025
5 26 3124
5 27 3795
5 28 3867
5 29 3693
5 30 2907
5 31 3075
5 32 3556
5 33 3638
5 34 2604
5 35 3632
5 36 4314
5 37 4832
5 38 3741
5 39 3521
5 40 4016
5 41 4166
5 42 4094
5 43 3562
5 44 3966
5 45 3659
5 46 4760
5 47 3935
5 48 3300
5 49 4100
5 50 2990
5 51 3787
5 52 3052
5 53 3405
5 54 4403
5 55 3576
5 56 3318
5 57 4265
5 58 3363
5 59 3111
5 60 3469
5 61 3391
5 62 3135
5 63 3891
5 64 3699
5 65 3034
5 66 3200
5 67 3870
5 68 3475
5 69 3683
5 70 3760
5 71 2998
5 72 3842
5 73 3814
5 74 3318
5 75 4965
5 76 4244
5 77 5210
5 78 4146
5 79 3772
5 80 4774
5 81 5219
5 82 4027
5 83 5503
5 84 4676
5 85 5219
5 86 5229
5 87 5425
5 88 5410
5 89 4918
5 90 4597
5 91 4915
5 92 7926
5 93 4091
5 94 5743
5 95 3800
5 96 5127
5 97 4947
5 98 5844
5 99 4446
5 100 4020
5 101 4437
5 102 4705
5 103 4712
5 104 4158
5 105 6014
6 1 158
6 2 175
6 3 314
6 4 132
6 5 263
6 6 0
6 7 281
6 8 411
6 9 2689
6 10 4054
6 11 3056
6 12 3100
6 13 2730
6 14 3628
6 15 2436
6 16 3780
6 17 2385
6 18 4342
6 19 2931
6 20 3162
6 21 2936
6 22 2642
6 23 3219
6 24 3917
6 25 3439
